bill_id,knesset_num,sub_type,status,ancestor_first_plenum_discussion,presented_to_plenum,merged_first_call,from_presented_to_first_call,from_presented_to_first_call_without_pagra,merged_last_call,from_last_call_to_first_relevant_committee_discussion,from_last_call_to_first_relevant_committee_discussion_without_pagra,from_first_relevant_committee_discussions_to_last,from_first_relevant_committee_discussions_to_last_without_pagra,from_presented_to_plenum_to_publication,from_presented_to_plenum_to_publication_without_pagra,from_first_plenum_discussion_to_publication,from_first_plenum_discussion_to_publication_without_pagra,publication_date,dates_comments
147380,1,ממשלתית,התקבלה בקריאה שלישית,,,,,,,,,,,,,,,1949-04-26,"failed to find presented to plenum, failed to find first call, failed to find last call"
147381,1,ממשלתית,התקבלה בקריאה שלישית,,,,,,,,,,,,,,,1951-03-08,"failed to find presented to plenum, failed to find first call, failed to find last call"
147413,1,ממשלתית,התקבלה בקריאה שלישית,,,,,,,,,,,,,,,1949-12-07,"failed to find presented to plenum, failed to find first call, failed to find last call"
147414,1,ממשלתית,התקבלה בקריאה שלישית,,,,,,,,,,,,,,,1950-03-20,"failed to find presented to plenum, failed to find first call, failed to find last call"
147431,1,ממשלתית,התקבלה בקריאה שלישית,1951-03-07,,,,,,,,,,,,8,8,1951-03-15,"failed to find presented to plenum, failed to find first call, failed to find last call"
147436,1,ממשלתית,התקבלה בקריאה שלישית,,,,,,,,,,,,,,,1949-04-13,"failed to find presented to plenum, failed to find first call, failed to find last call"
147437,1,ממשלתית,התקבלה בקריאה שלישית,,,,,,,,,,,,,,,1950-03-28,"failed to find presented to plenum, failed to find first call, failed to find last call"
147438,1,ממשלתית,התקבלה בקריאה שלישית,,,,,,,,,,,,,,,1951-04-19,"failed to find presented to plenum, failed to find first call, failed to find last call"
147466,1,ממשלתית,התקבלה בקריאה שלישית,,,,,,,,,,,,,,,1950-08-18,"failed to find presented to plenum, failed to find first call, failed to find last call"
147483,1,ממשלתית,התקבלה בקריאה שלישית,,,,,,,,,,,,,,,1949-08-07,"failed to find presented to plenum, failed to find first call, failed to find last call"
147498,1,ממשלתית,התקבלה בקריאה שלישית,,,,,,,,,,,,,,,1950-04-05,"failed to find presented to plenum, failed to find first call, failed to find last call"
147499,1,ממשלתית,התקבלה בקריאה שלישית,,,,,,,,,,,,,,,1950-08-18,"failed to find presented to plenum, failed to find first call, failed to find last call"
147519,1,ממשלתית,התקבלה בקריאה שלישית,,,,,,,,,,,,,,,1949-05-24,"failed to find presented to plenum, failed to find first call, failed to find last call"
147577,1,ממשלתית,התקבלה בקריאה שלישית,,,,,,,,,,,,,,,1950-06-23,"failed to find presented to plenum, failed to find first call, failed to find last call"
147680,1,ממשלתית,התקבלה בקריאה שלישית,,,,,,,,,,,,,,,1950-08-18,"failed to find presented to plenum, failed to find first call, failed to find last call"
147681,1,ממשלתית,התקבלה בקריאה שלישית,,,,,,,,,,,,,,,1951-07-11,"failed to find presented to plenum, failed to find first call, failed to find last call"
147710,1,ממשלתית,התקבלה בקריאה שלישית,1949-06-13,,,,,,,,,,,,6,6,1949-06-19,"failed to find presented to plenum, failed to find first call, failed to find last call"
147748,1,ממשלתית,התקבלה בקריאה שלישית,,,,,,,,,,,,,,,1949-09-04,"failed to find presented to plenum, failed to find first call, failed to find last call"
147749,1,ממשלתית,התקבלה בקריאה שלישית,,,,,,,,,,,,,,,1950-07-05,"failed to find presented to plenum, failed to find first call, failed to find last call"
147751,1,ממשלתית,התקבלה בקריאה שלישית,,,,,,,,,,,,,,,1951-04-05,"failed to find presented to plenum, failed to find first call, failed to find last call"
147835,1,ממשלתית,התקבלה בקריאה שלישית,1949-05-30,1949-05-30,1949-05-30,0,0,1949-05-30,,,,,79,79,79,79,1949-08-17,"used last preliminary call as presented to plenum, used presented to plenum as first call, used first call as last call"
147836,1,ממשלתית,התקבלה בקריאה שלישית,1950-06-26,,,,,,,,,,,,8,8,1950-07-04,"failed to find presented to plenum, failed to find first call, failed to find last call"
147837,1,ממשלתית,התקבלה בקריאה שלישית,1951-03-26,1951-03-26,1951-03-26,0,0,1951-03-26,,,,,10,10,10,10,1951-04-05,"used last preliminary call as presented to plenum, used presented to plenum as first call, used first call as last call"
147859,1,ממשלתית,התקבלה בקריאה שלישית,1949-08-25,1949-08-25,1949-08-25,0,0,1949-08-25,,,,,10,10,10,10,1949-09-04,"used last preliminary call as presented to plenum, used presented to plenum as first call, used first call as last call"
147876,1,ממשלתית,התקבלה בקריאה שלישית,1949-08-10,1949-08-10,1949-08-10,0,0,1949-08-10,,,,,7,7,7,7,1949-08-17,"used last preliminary call as presented to plenum, used presented to plenum as first call, used first call as last call"
147884,1,ממשלתית,התקבלה בקריאה שלישית,1949-08-25,1949-08-25,1949-08-25,0,0,1949-08-25,,,,,10,10,10,10,1949-09-04,"used last preliminary call as presented to plenum, used presented to plenum as first call, used first call as last call"
147885,1,ממשלתית,התקבלה בקריאה שלישית,1950-06-26,,,,,,,,,,,,8,8,1950-07-04,"failed to find presented to plenum, failed to find first call, failed to find last call"
147886,1,ממשלתית,התקבלה בקריאה שלישית,1951-03-26,1951-03-26,1951-03-26,0,0,1951-03-26,,,,,10,10,10,10,1951-04-05,"used last preliminary call as presented to plenum, used presented to plenum as first call, used first call as last call"
147888,1,ממשלתית,התקבלה בקריאה שלישית,1949-08-29,1949-08-29,1949-08-29,0,0,1949-08-29,,,,,9,9,9,9,1949-09-07,"used last preliminary call as presented to plenum, used presented to plenum as first call, used first call as last call"
147889,1,ממשלתית,התקבלה בקריאה שלישית,1950-06-26,,,,,,,,,,,,8,8,1950-07-04,"failed to find presented to plenum, failed to find first call, failed to find last call"
147890,1,ממשלתית,התקבלה בקריאה שלישית,1951-03-26,1951-03-26,1951-03-26,0,0,1951-03-26,,,,,10,10,10,10,1951-04-05,"used last preliminary call as presented to plenum, used presented to plenum as first call, used first call as last call"
147891,1,ממשלתית,התקבלה בקריאה שלישית,1949-08-10,1949-08-10,1949-08-10,0,0,1949-08-10,,,,,7,7,7,7,1949-08-17,"used last preliminary call as presented to plenum, used presented to plenum as first call, used first call as last call"
147904,1,ממשלתית,התקבלה בקריאה שלישית,,,,,,,,,,,,,,,1949-09-07,"failed to find presented to plenum, failed to find first call, failed to find last call"
147915,1,ממשלתית,התקבלה בקריאה שלישית,,,,,,,,,,,,,,,1949-09-04,"failed to find presented to plenum, failed to find first call, failed to find last call"
147927,1,ממשלתית,התקבלה בקריאה שלישית,1950-02-21,1950-02-21,1950-02-21,0,0,1950-02-21,,,,,35,35,35,35,1950-03-28,"used last preliminary call as presented to plenum, used presented to plenum as first call, used first call as last call"
147943,1,ממשלתית,התקבלה בקריאה שלישית,,,,,,,,,,,,,,,1949-04-04,"failed to find presented to plenum, failed to find first call, failed to find last call"
147944,1,ממשלתית,התקבלה בקריאה שלישית,,,,,,,,,,,,,,,1949-07-20,"failed to find presented to plenum, failed to find first call, failed to find last call"
147945,1,ממשלתית,התקבלה בקריאה שלישית,,,,,,,,,,,,,,,1949-09-02,"failed to find presented to plenum, failed to find first call, failed to find last call"
147946,1,ממשלתית,התקבלה בקריאה שלישית,,,,,,,,,,,,,,,1950-07-05,"failed to find presented to plenum, failed to find first call, failed to find last call"
147947,1,ממשלתית,התקבלה בקריאה שלישית,,,,,,,,,,,,,,,1951-04-12,"failed to find presented to plenum, failed to find first call, failed to find last call"
147948,1,ממשלתית,התקבלה בקריאה שלישית,,,,,,,,,,,,,,,1951-02-15,"failed to find presented to plenum, failed to find first call, failed to find last call"
147941,1,ממשלתית,התקבלה בקריאה שלישית,,,,,,,,,,,,,,,1949-02-17,"failed to find presented to plenum, failed to find first call, failed to find last call"
147996,1,ממשלתית,התקבלה בקריאה שלישית,1949-07-05,1949-07-05,1949-07-05,0,0,1949-07-05,,,,,141,85,141,85,1949-11-23,"used last preliminary call as presented to plenum, used presented to plenum as first call, used first call as last call"
